name,address,latitude,longitude,rating,user_ratings_total,type,state
Yummy Kabob House,"250 S Reynolds St, Alexandria",38.8106226,-77.1272007,0,0,Afghan,VA
Moby Dick House of Kabob,"444 W Broad St suite A, Falls Church",38.8870258,-77.1771087,4.3,417,Persian,VA
Moby Dick House of Kabob,"7223 Centreville Rd Unit 103, Manassas",38.7987667,-77.4463306,5,9,Persian,VA
Moby Dick House of Kabob,"1070 31st St NW, Washington",38.9048342,-77.0612936,4.2,535,Persian,DC
Afghan Kabob Restaurant,"6357 Rolling Rd, Springfield",38.778113,-77.2314356,4.2,414,Afghan,VA
Caspian House Of Kabob At Kentland,"72 Market St, Gaithersburg",39.1241303,-77.2343725,4,244,Persian,MD
Moby Dick House of Kabob,"3000 Washington Boulevard Cross Street:, N Highland St, Arlington",38.8847685,-77.094381,4.3,413,Persian,VA
Moby Dick House of Kabob,"9812 Falls Rd #102, Potomac",39.0170521,-77.2104912,4.4,248,Persian,MD
Moby Dick House of Kabob,"4037 Campbell Ave, Arlington",38.8411364,-77.088065,4.4,362,Persian,VA
Kabob Corner of Stafford,"1515 Stafford Market Pl #105, Stafford",38.4713787,-77.4107711,4.1,499,Middle Eastern,VA
Moby Dick House of Kabob,"5900 Kingstowne Towne Ctr, Alexandria",38.7717,-77.1382444,4.1,373,Persian,VA
Moby Dick House of Kabob,"7116 Old Keene Mill Rd, Springfield",38.7790556,-77.1900972,4,321,Persian,VA
Moby Dick House of Kabob,"1500 Cornerside Blvd, Vienna",38.9302298,-77.2450196,4.3,630,Persian,VA
Moby Dick House of Kabob,"6854 Old Dominion Dr #6033, McLean",38.9358032,-77.181756,4.2,391,Persian,VA
Moby Dick House of Kabob,"14035 Promenade Commons St, Gainesville",38.7881373,-77.6063802,3.8,82,Persian,MD
Dunya Kabob,"9441 Lorton Market St, Lorton",38.7018157,-77.2204904,3.9,886,Afghan,VA
